,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
139,"By Your Side (feat. Tom Grennan)","Calvin Harris",491961,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
140,"Savage Love (Laxed - Siren Beat)","Jawsh 685",491624,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
141,"An meinem schlechtesten Tag (feat. Samra)","Kontra K",490885,https://open.spotify.com/track/2k3eSZAcD5asE39rpNQUOU
142,"Ohne mein Team","Bonez MC",486421,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
143,Paradise,VIZE,479234,https://open.spotify.com/track/2qpZjutAe3pstQsjwSXQb4
144,"Ride It",Regard,473566,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
145,"Memories (feat. Kid Cudi)","David Guetta",470597,https://open.spotify.com/track/0Xh6R6XLoTDRBYriQRgkHj
146,Overdose,Jamule,468608,https://open.spotify.com/track/2z7QFsLAqNTGEtgAU6rS6W
147,"Todo De Ti","Rauw Alejandro",462837,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
148,"favorite crime","Olivia Rodrigo",462792,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
149,River,"Tom Gregory",462781,https://open.spotify.com/track/6jmIUrOD5seJEh6Z6RP2xz
150,Runaway,AURORA,462288,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
151,"PHONKY TOWN",PlayaPhonk,459907,https://open.spotify.com/track/0BRbI3ZMPXuj9yA7ChDGOW
152,"In the End","Linkin Park",459720,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
153,brutal,"Olivia Rodrigo",449985,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
154,Verpennt,"187 Strassenbande",448960,https://open.spotify.com/track/0B3oydD4ATrmoBk1QMzNt6
155,Angeklagt,"Bonez MC",447663,https://open.spotify.com/track/5eu4Lxm5TlI0tKSTTDWJAT
156,"Saufen aufm Spielplatz",BroyS,444943,https://open.spotify.com/track/2qa4plPe9puo6TUIP3uKWT
157,CORALINE,Måneskin,444402,https://open.spotify.com/track/7HMz8o0m7ASQ3ImFPfhWTY
158,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",441450,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
159,Bläulich,"Apache 207",440893,https://open.spotify.com/track/2WRTnY0slmFgWcrmEr8dPj
160,"Geh Allein",t-low,440842,https://open.spotify.com/track/1MAqcAU0vwCpDosgRzoEHV
161,"Definition von Glück",K.I.Z,436546,https://open.spotify.com/track/6uPLFAfq72cAYjHelYSMT3
162,Angst,"Apache 207",436156,https://open.spotify.com/track/5yUzqd3H7cmJ1no6B4uTzu
163,"Never Let Me Down",VIZE,428591,https://open.spotify.com/track/5TGcyccg8Hkgn9jB7gUpMN
164,"Eine Nacht",Ra'is,428353,https://open.spotify.com/track/2rqAlNQ1T3kSaZ3varWtto
165,"Sweater Weather","The Neighbourhood",424648,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
166,Thunder,"Gabry Ponte",423950,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
167,"Floating Through Space",Sia,423866,https://open.spotify.com/track/0XwSUpdrF7nR7hVxbDs7mb
168,"Late At Night","Roddy Ricch",422679,https://open.spotify.com/track/1fxYz1s15pyZLsJT0Hdh1m
169,Monet,Alligatoah,419319,https://open.spotify.com/track/2vS1HmVoOpvWeFKf7HnWdJ
170,"Vermissen (feat. Henning May)",Juju,415351,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz
171,"In meinem Benz","AK AUSSERKONTROLLE",414637,https://open.spotify.com/track/3dy7SaVShdnjwtx9IXhtzg
