,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
119,"Mother Fuck",Jul,381619,https://open.spotify.com/track/0QMHp1X3B5BGN6J3HynHT1
120,"Pour de vrai",Vianney,373632,https://open.spotify.com/track/6ixKI6i2vg8mTVtdzsGHYD
121,Angela,Hatik,371005,https://open.spotify.com/track/6ab3CQvDlAVttThZucwGQ1
122,"Freeze Raël","Freeze corleone",369352,https://open.spotify.com/track/6DPrYPPGYK218iVIZDix3i
123,"Joli bébé",Naza,369114,https://open.spotify.com/track/1J4oMIhWDUd9cI1urhEyjl
124,beau-papa,Vianney,368627,https://open.spotify.com/track/5wXkbtZO1HsOQ1P75zi35p
125,"ZITTI E BUONI",Måneskin,366490,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
126,"J'aimerais tellement te dire","Soso Maness",365708,https://open.spotify.com/track/206F1A1ywyzsTktFlE85sb
127,"9 1 1 3 (feat. SCH)",Zola,360644,https://open.spotify.com/track/3WCMzZvH2zK476lasbLx0s
128,"Del Mar",Ozuna,359560,https://open.spotify.com/track/5cpJFiNwYyWwFLH0V6B3N8
129,River,"Tom Gregory",356261,https://open.spotify.com/track/6jmIUrOD5seJEh6Z6RP2xz
130,"MPC, Part II (La rivière)","Luv Resval",355637,https://open.spotify.com/track/0gqN3L5zAYN3OFHUB1g6QO
131,"Love Not War (The Tampa Beat)","Jason Derulo",354563,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
132,Whoopty,CJ,353993,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
133,"Build a Bitch","Bella Poarch",352359,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
134,"La machine","Aya Nakamura",350843,https://open.spotify.com/track/4YcK0u6DgSg1jQqWYCXTBq
135,"Jusqu'ici tout va bien",DTF,350270,https://open.spotify.com/track/5Y90fdB2Bs4eYccpyNrXjR
136,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",348779,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
137,J'fly,Bebew,346428,https://open.spotify.com/track/2kQRGDr8EMesjnUFDKGNF3
138,"Φ. THEVIE RADIO",Damso,345789,https://open.spotify.com/track/4URf8X1z0ZGaPemh0dKx2M
139,"LOPSA STORY",1PLIKÉ140,345384,https://open.spotify.com/track/5IDnEkOCdOp1F0XTAMG3Rk
140,"I WANNA BE YOUR SLAVE",Måneskin,345291,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
141,Beggin',Måneskin,344252,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
142,Yonaguni,"Bad Bunny",344020,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
143,"No blata",OBOY,338352,https://open.spotify.com/track/2oAmXX6Vp4c0cHxxiU4t4f
144,"Cosmos - feat. PLK",Rim'K,337816,https://open.spotify.com/track/5hM1Bta5Ej1rRyOXStRIzH
145,Bené,PNL,337731,https://open.spotify.com/track/00X2yv2vrtritPt2CZnUTZ
146,Zipette,Ninho,337705,https://open.spotify.com/track/1Lulg5ZiMEXy3QNwb1PB8I
147,"Grand bain",Dadju,337420,https://open.spotify.com/track/0W4MOQ2kTOm1y7ooahgQP1
148,"La vie du binks (feat. Hornet La Frappe, Leto, Sadek, Soprano)","DA Uzi",336365,https://open.spotify.com/track/4tJYqq9gYr0RATc1BpDkpy
149,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,335669,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
150,Galerie,Ziak,335029,https://open.spotify.com/track/2hsEYpnAtMH7CbZJajUU5C
151,"The Business",Tiësto,334680,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
152,"En détente",Naps,333752,https://open.spotify.com/track/5HerMpAegwiAAFOIXNCxED
153,"Tout s'en va","Luv Resval",333735,https://open.spotify.com/track/0cf1gWT1VpWrxxgjjIiH4V
154,"drivers license","Olivia Rodrigo",333004,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
155,"Interlude (ô Baumettes)","Soso Maness",327648,https://open.spotify.com/track/2k0ZWI1zt2WtajaAnf7Vjb
156,"Cœur noir",Eva,327633,https://open.spotify.com/track/0Z8DRG0HgZJ1bIhCQqyzPo
