,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
103,"WAP (feat. Megan Thee Stallion)","Cardi B",279752,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
104,"Painting Pictures","Polo G",276815,https://open.spotify.com/track/25uBGaikHi0DhMiGMfuXYE
105,Shit,"Bo Burnham",276129,https://open.spotify.com/track/2xQShwyOMYlX10w8dxbFX1
106,"What You Know Bout Love","Pop Smoke",275042,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
107,34+35,"Ariana Grande",274592,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
108,"WHOLE LOTTA MONEY",BIA,273757,https://open.spotify.com/track/5yorXJWdBan1Vlh116ZtQ7
109,"The Spins","Mac Miller",272492,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
110,"Party Lyfe (with DaBaby)","Polo G",271060,https://open.spotify.com/track/38Z8SRBxln5pP7yWLqRYwC
111,Fiel,"Los Legendarios",270062,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
112,Robbery,"Juice WRLD",268883,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
113,"Electric Love",BØRNS,268121,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
114,Ski,"Young Stoner Life",267175,https://open.spotify.com/track/6755DFiZ7CWe2WMdTGW5C1
115,"Blueberry Faygo","Lil Mosey",264647,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
116,"Talking to the Moon","Bruno Mars",264311,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
117,Epidemic,"Polo G",262643,https://open.spotify.com/track/1SjBcdzWbs79UTCrH4qXJf
118,"you broke me first","Tate McRae",262315,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
119,Boom,"Polo G",261786,https://open.spotify.com/track/6vQnpXl0KvwTfLpIhoOLHc
120,"Mr. Brightside","The Killers",261407,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
121,Dinero,"Trinidad Cardona",261013,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
122,"Don't Start Now","Dua Lipa",259792,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
123,"Someone You Loved","Lewis Capaldi",259467,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
124,goosebumps,"Travis Scott",258336,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
125,"20 Min","Lil Uzi Vert",254731,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
126,Goodbye,"Bo Burnham",253057,https://open.spotify.com/track/6tfPsgvkgbGHWGwq2PpzCI
127,"The Box","Roddy Ricch",252986,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
128,"Whiskey Glasses","Morgan Wallen",252204,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
129,"Bloody Canvas","Polo G",251190,https://open.spotify.com/track/7Cj3tnMCpXpHgE8CIISbGq
130,"Chasing After You (with Maren Morris)","Ryan Hurd",250996,https://open.spotify.com/track/1ZIKpMTRPqhwAoVXWY3tXI
131,positions,"Ariana Grande",250554,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
132,"Christian Dior","Jhay Cortez",249154,https://open.spotify.com/track/4jOBQxq4Ffd8DDrsN4wPOR
133,"hot girl bummer",blackbear,248850,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
134,"Life Is Good (feat. Drake)",Future,248053,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
135,21,"Polo G",247273,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
136,"Tongue Tied",Grouplove,246528,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
137,"Your Power","Billie Eilish",245561,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
138,Heather,"Conan Gray",245313,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
139,"Daddy Issues","The Neighbourhood",245273,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
140,"Knock Knock",SoFaygo,244901,https://open.spotify.com/track/6aHoPULNO7pSL2ZfUY0bU8
141,Content,"Bo Burnham",244386,https://open.spotify.com/track/7av3s72hOwmgzA2VE5pWDa
142,"Heart of a Giant (with Rod Wave)","Polo G",244036,https://open.spotify.com/track/6Q7Tv7ZxmoOokvuPchcaO1
143,Dynamite,BTS,243205,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
144,"Famous Friends","Chris Young",242828,https://open.spotify.com/track/4iXDn9pu5Q9sxv45vE8Lak
145,"Wasted On You","Morgan Wallen",242489,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
146,"On Me","Lil Baby",241838,https://open.spotify.com/track/4Iedi94TIaB2GGb1nMB68v
147,"That Funny Feeling","Bo Burnham",241627,https://open.spotify.com/track/7uCq4vBPffjaTMlE8EQzJD
148,Tampa,"Cico P",239586,https://open.spotify.com/track/5jc4Qcs98R4ZDku8ictuE3
149,"SUN GOES DOWN","Lil Nas X",237911,https://open.spotify.com/track/34eF4BoV8FPk0uhAAoqU7h
150,"Washing Machine Heart",Mitski,237391,https://open.spotify.com/track/4Ys8jQvZOISzmp34BsImRf
151,Arcade,"Duncan Laurence",237206,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
152,"The Good Ones","Gabby Barrett",235150,https://open.spotify.com/track/3hLuHKzG1cmlRpq53ZVWd8
153,"So Real","Polo G",234774,https://open.spotify.com/track/0NvHg9fiix03UG7hdYx6DI
154,"Go Part 1 (with G Herbo)","Polo G",233385,https://open.spotify.com/track/1EnWTwagv0XR5OJ51WMdzj
155,"Misery Business",Paramore,233238,https://open.spotify.com/track/6SpLc7EXZIPpy0sVko0aoU
156,"Cloud 9","Beach Bunny",231541,https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
157,"Cigarette Daydreams","Cage The Elephant",231341,https://open.spotify.com/track/0lkQOB949M2gLyut86aJ1b
158,"Big Gangsta","Kevin Gates",230025,https://open.spotify.com/track/03ERnTvSV5fy8WAyvA4uNP
159,"Jocelyn Flores",XXXTENTACION,229870,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
160,"The Less I Know The Better","Tame Impala",229707,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
161,"Ric Flair Drip (& Metro Boomin)",Offset,228875,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
162,"SLOW DANCING IN THE DARK",Joji,228353,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
163,Twerkulator,"City Girls",228126,https://open.spotify.com/track/2Ty7EDf9XLYzEUqEIwJfDC
164,"Beautiful Crazy","Luke Combs",227886,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
165,"More Than My Hometown","Morgan Wallen",227653,https://open.spotify.com/track/5OELUCYgOHKFAvCERnAvfS
166,"XO Tour Llif3","Lil Uzi Vert",227356,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
167,Comedy,"Bo Burnham",225984,https://open.spotify.com/track/2AziR5bWTpniyTm2GQNer7
168,"Before You Go","Lewis Capaldi",225412,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
169,Dior,"Pop Smoke",225365,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
170,"Everybody Talks","Neon Trees",223503,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq
171,"Antisocial (feat. Juice WRLD)",Migos,223235,https://open.spotify.com/track/3lakLxKgelrvKBTyGwDXhX
172,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",222570,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
173,"Adore You","Harry Styles",222419,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
174,"Godzilla (feat. Juice WRLD)",Eminem,222286,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
175,"MIDDLE CHILD","J. Cole",222084,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
176,Vaccine,Migos,221880,https://open.spotify.com/track/5Qs6gTnyrG0KGYbuCzoK5k
177,"Glad You Exist","Dan + Shay",221769,https://open.spotify.com/track/472vIK1ldetTxRxG3ovaiY
178,Masterpiece,DaBaby,221153,https://open.spotify.com/track/26UxwWl9xCb83OynXELJcL
179,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",220313,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
180,"Are You Bored Yet? (feat. Clairo)",Wallows,219975,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
181,"Bundles (feat. Taylor Girlz)","Kayla Nicole",219648,https://open.spotify.com/track/3QqYZWQLn0evKMIRlGJeeR
182,"i n t e r l u d e","J. Cole",218771,https://open.spotify.com/track/08LwMWf5Tcfsd752EPzFV0
183,Bang!,AJR,218585,https://open.spotify.com/track/5FQPpxOXsvkMN6v18gtpwY
184,"Wait a Minute!",WILLOW,217459,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
185,"LA NOCHE DE ANOCHE","Bad Bunny",216754,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
186,"As the World Caves In","Sarah Cothran",216669,https://open.spotify.com/track/7LAmsNJpBaNvNg7VZPXxSv
187,"Tennessee Whiskey","Chris Stapleton",216343,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx
188,"Time Today","Moneybagg Yo",216094,https://open.spotify.com/track/0YrKSfpvflYnLSBd4Jtu6J
189,"Therefore I Am","Billie Eilish",216027,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
190,"Don't Stop Believin'",Journey,213642,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
191,"Broken Guitars (with Scorey)","Polo G",213528,https://open.spotify.com/track/4QSehYD2iCp1L3l4B3QNv0
192,"Sure Thing",Miguel,212763,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV
193,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,211989,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
194,"lovely (with Khalid)","Billie Eilish",211488,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
195,Runaway,AURORA,209821,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
196,"Picasso (feat. Future)",Migos,209599,https://open.spotify.com/track/2kPlWEOm2tQlaZRE01IbBQ
197,"Put Your Records On","Ritt Momney",208862,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
198,"Voice of the Heroes","Lil Baby",208664,https://open.spotify.com/track/3E3pb3qH11iny6TFDJvsg5
199,"7 Summers","Morgan Wallen",208577,https://open.spotify.com/track/4obHzpwGrjoTuZh2DItEMZ
200,A-O-K,"Tai Verdes",207924,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
