,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
85,RAPSTAR,"Polo G",50494,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
86,"Watermelon Sugar","Harry Styles",49648,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
87,Viktoria,Melisses,49571,https://open.spotify.com/track/6zjzustYTCBqaUiIMY9aJ2
88,Etsi,SNIK,49369,https://open.spotify.com/track/73d7q3kVVIgfCUK07bVIVH
89,"Mata Hari",Efendi,49169,https://open.spotify.com/track/3wuvVwA5RaifHz1uqKac8P
90,"Blinding Lights","The Weeknd",49017,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
91,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",48882,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
92,Demon,Bossikan,48345,https://open.spotify.com/track/4z9inVEJzwLMPpdLhFjb51
93,Criminal,MG,47379,https://open.spotify.com/track/0oUuX5C3z1Z7I3sAGeJQ31
94,"drivers license","Olivia Rodrigo",44759,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
95,traitor,"Olivia Rodrigo",44671,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
96,BOUFAN,iLLEOo,44258,https://open.spotify.com/track/6qQs0Dz2eqianrE2OouKx5
97,Alitis,"Mad Clip",44218,https://open.spotify.com/track/3zCUHfPi1kl8EUUamLxaJ0
98,"Trifila - Remix","Thug Slime",43878,https://open.spotify.com/track/0v0XN0d4xUiP6r5DhiulRx
99,Assassini,Sadam,43814,https://open.spotify.com/track/6asSyzMm4KDZbEzQnkUO0p
100,Prince,Fy,43688,https://open.spotify.com/track/4M8I7zcnQYsGH5thn1J0sC
101,NANA,Saske,42904,https://open.spotify.com/track/6lcgBbZKhYBnOxOS5rNlYb
102,VENT'ANNI,Måneskin,42601,https://open.spotify.com/track/6Vfo6O3hk38vDcSpazNo3p
103,SHUM,Go_A,42304,https://open.spotify.com/track/7mEDVrAHDnQJStDo8jKJJm
104,"FOR YOUR LOVE",Måneskin,41093,https://open.spotify.com/track/3ZeyEvTgSlKajHc0fckgZT
105,Hoodstars,GAMEBOY,40941,https://open.spotify.com/track/3F8ZuhmuIIIYkks2cqBiXZ
106,BBQ-2,RICTA,40804,https://open.spotify.com/track/2LSmxmTJ7DsSNTkf4tE9Ku
107,Whoopty,CJ,40015,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
108,"Last Dance",Stefania,39913,https://open.spotify.com/track/0x4GMUtMeZAbti9fhDQnhj
109,SUPERSTAR,MG,39847,https://open.spotify.com/track/28dgIVVQiTOZlYs3JForb7
110,Fendi,"Dirty Harry",39747,https://open.spotify.com/track/5CZbxKM8Ibh3RmfB7xFAzm
111,"Head & Heart (feat. MNEK)","Joel Corry",39686,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
112,Sandra,TOQUEL,39618,https://open.spotify.com/track/73KYTCSbVlj5E02qWj8DPF
113,Arcade,"Duncan Laurence",39515,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
114,210,Strat,39435,https://open.spotify.com/track/5AsNGwVP7bix0nae8y95kc
115,Paliopaido,Josephine,39091,https://open.spotify.com/track/4B6JBE2UIUfXvNrX0Qr4Wx
116,happier,"Olivia Rodrigo",38887,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
117,Dior,"Pop Smoke",38380,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
118,Lockdown,Mef,38168,https://open.spotify.com/track/0LgIHffVhGleMeHORs7dUl
119,Chosen,Måneskin,37940,https://open.spotify.com/track/2lDgdWIGLYuk74pDeRPgPF
120,"Paradise (feat. Dermot Kennedy)",MEDUZA,37677,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
121,Caliente,"Mente Fuerte",37612,https://open.spotify.com/track/3wjl3uPGckJUAeI5cRG0bZ
122,Cyan,Saske,37404,https://open.spotify.com/track/7lOk3JSaMnbZhG381VLa6C
123,Solfege,Immune,37176,https://open.spotify.com/track/7eZxh83S9spEfb3gAIcZZW
124,"favorite crime","Olivia Rodrigo",37014,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
125,BED,"Joel Corry",36330,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
126,"LA PAURA DEL BUIO",Måneskin,36223,https://open.spotify.com/track/2l7V3AuTxGuswKjGovaSEv
127,Kamikazi,"Dof Twogee",35813,https://open.spotify.com/track/2K7HlGNAngiCJaaaApo2DF
128,Senorita,SNIK,35655,https://open.spotify.com/track/4Wc7eARS7kCa4oX2lQ8AxT
129,"Build a Bitch","Bella Poarch",35315,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
130,Streets,"Doja Cat",35235,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
131,Rudeboys,"Mente Fuerte",35101,https://open.spotify.com/track/7golvOwQUXF4LEzISx7dRF
132,"Love Your Voice",JONY,34682,https://open.spotify.com/track/75VNPADAFa4iNpjEBUYMhF
133,brutal,"Olivia Rodrigo",34638,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
134,Professor,IAMSTRONG,34467,https://open.spotify.com/track/7p735bl8nXf0Dg1EHNU0Ci
135,131X,"Dani Gambino",34297,https://open.spotify.com/track/6yUdOU2XSWqMFFfBEoW6RW
136,Daxiiiiiii?,"Sin Boy",34278,https://open.spotify.com/track/0EKePN86SoIGoMyhMFiat9
137,Mirea,"DJ Stephan",34202,https://open.spotify.com/track/6kcyhtdn73Wob4uTQuH5yr
138,Overdose,"Lil PoP",34135,https://open.spotify.com/track/3N0dH5dZKj4momer7WIhRB
139,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",34065,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
140,ISLAMABAD,"Dani Gambino",34029,https://open.spotify.com/track/5ahPNTYu8v9MNaB7vjFfyB
141,AMG,Trannos,33758,https://open.spotify.com/track/6HmFlBFT4ZvWuDP1otLqSg
142,"Gucci, Cartier","DJ Stephan",33680,https://open.spotify.com/track/1IdEyyAndnZmMO0nTPrZEP
143,MPERKETI,"Dani Gambino",33418,https://open.spotify.com/track/3sDM5Gru9kHWuyWPnQVRwo
144,"Mood (feat. iann dior)",24kGoldn,33231,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
145,Elpida,"Mad Clip",33178,https://open.spotify.com/track/1JaBJC3gj7jSsNxsnYTzhj
146,"Man Down",Immune,32995,https://open.spotify.com/track/6CG4hzdavLVJYrLq8MfH7i
147,Kilo,Sigma,32880,https://open.spotify.com/track/7xhP7fa8BHHoA26IIyYKjQ
148,"Non Stop","Lil Barty",32528,https://open.spotify.com/track/0aoI5hdUMaVseW8SQ7KG4X
149,Up,"Cardi B",32418,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
150,"Somebody Told Me",Måneskin,32329,https://open.spotify.com/track/4AIatGjGyVipeEAzCMTqOg
151,"Leave The Door Open","Bruno Mars",31940,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
152,Tipota,"Giorgos Sabanis",31291,https://open.spotify.com/track/7xCer4RU565CQ9FrtxDAq8
153,Matrix,Zoro&Buzz,31272,https://open.spotify.com/track/6SrJj7AFbNmd9tWTo3cxL9
154,Stars,TOQUEL,31203,https://open.spotify.com/track/3MkDbpHIHxmxOzqUAClMj3
155,"Vodka Vissino",Marseaux,30887,https://open.spotify.com/track/0ptLIKWWNdII8ppYT8aIpK
156,Gjenovese,"Mad Clip",30834,https://open.spotify.com/track/3Ip0y9quoAD4VdUkcdHWSz
157,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",30643,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
158,"NO STRESS",RICTA,30393,https://open.spotify.com/track/2VBlL1nXj1ifCDsI9bMtbD
159,Freaks,"Surf Curse",30009,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
160,"Roses - Imanbek Remix","SAINt JHN",29985,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
161,"Sweater Weather","The Neighbourhood",29965,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
162,"Another Love","Tom Odell",29927,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
163,"Your Power","Billie Eilish",29683,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
164,"Wants and Needs (feat. Lil Baby)",Drake,29652,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
165,"Take You Dancing","Jason Derulo",29583,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
166,"Breaking Me",Topic,29537,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
167,Filakes,Strat,29301,https://open.spotify.com/track/0omM3mkVfjt8MhDKinkhcn
168,Kotera,"Mad Clip",29250,https://open.spotify.com/track/3f7zVrAcCZ1BVlArmg8wzr
169,"Gel Burda","Dof Twogee",29193,https://open.spotify.com/track/3aML8uROR94OkM5dY74gxf
170,"L'altra dimensione",Måneskin,29099,https://open.spotify.com/track/36ONZ2CvV8KsLPapNPGTqa
171,"Oh No",Light,29061,https://open.spotify.com/track/0tWjoH3ZHahEJgfNbOU0zU
172,"Ta Morissiotika (Kappa)","Dof Twogee",29015,https://open.spotify.com/track/2cuZBrKoiENi3GdDtPfzIy
173,Spaceman,Light,28981,https://open.spotify.com/track/0mpeQPj9nUKFLvuOK6XyAz
