,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
132,brutal,"Olivia Rodrigo",4788,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
133,"Mata Hari",Efendi,4748,https://open.spotify.com/track/3wuvVwA5RaifHz1uqKac8P
134,Overdose,"Lil PoP",4747,https://open.spotify.com/track/3N0dH5dZKj4momer7WIhRB
135,BOUFAN,iLLEOo,4738,https://open.spotify.com/track/6qQs0Dz2eqianrE2OouKx5
136,"Man Down",Immune,4727,https://open.spotify.com/track/6CG4hzdavLVJYrLq8MfH7i
137,GOGO,Saske,4723,https://open.spotify.com/track/7FzClcvQM7oWdmzYZEQTHA
138,"Leave The Door Open","Bruno Mars",4711,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
139,Lockdown,Mef,4707,https://open.spotify.com/track/0LgIHffVhGleMeHORs7dUl
140,Kamikazi,"Dof Twogee",4663,https://open.spotify.com/track/2K7HlGNAngiCJaaaApo2DF
141,"Wants and Needs (feat. Lil Baby)",Drake,4615,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
142,Streets,"Doja Cat",4601,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
143,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",4568,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
144,"Mood (feat. iann dior)",24kGoldn,4559,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
145,"Having Our Way (feat. Drake)",Migos,4557,https://open.spotify.com/track/2NM0qHzx4Ohy8iXHEEgwlO
146,"Gia Sena",Stavento,4538,https://open.spotify.com/track/5N1eryUOWd5UECQeR5aDfW
147,Rudeboys,"Mente Fuerte",4513,https://open.spotify.com/track/7golvOwQUXF4LEzISx7dRF
148,"Gucci, Cartier","DJ Stephan",4502,https://open.spotify.com/track/1IdEyyAndnZmMO0nTPrZEP
149,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",4501,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
150,Tipota,"Giorgos Sabanis",4477,https://open.spotify.com/track/7xCer4RU565CQ9FrtxDAq8
151,Senorita,SNIK,4477,https://open.spotify.com/track/4Wc7eARS7kCa4oX2lQ8AxT
152,Comeback,Immune,4475,https://open.spotify.com/track/1SHuHHjFYyhQxf4iITkyXW
153,Up,"Cardi B",4434,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
154,"Sweater Weather","The Neighbourhood",4431,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
155,VENT'ANNI,Måneskin,4409,https://open.spotify.com/track/6Vfo6O3hk38vDcSpazNo3p
156,Rasputin,Majestic,4350,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
157,"Take You Dancing","Jason Derulo",4297,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
158,"Another Love","Tom Odell",4275,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
159,SHUM,Go_A,4222,https://open.spotify.com/track/7mEDVrAHDnQJStDo8jKJJm
160,Elpida,"Mad Clip",4215,https://open.spotify.com/track/1JaBJC3gj7jSsNxsnYTzhj
161,"FOR YOUR LOVE",Måneskin,4194,https://open.spotify.com/track/3ZeyEvTgSlKajHc0fckgZT
162,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",4186,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
163,"Build a Bitch","Bella Poarch",4183,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
164,AMG,Trannos,4179,https://open.spotify.com/track/6HmFlBFT4ZvWuDP1otLqSg
165,"Breaking Me",Topic,4178,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
166,Stars,TOQUEL,4176,https://open.spotify.com/track/3MkDbpHIHxmxOzqUAClMj3
167,Freaks,"Surf Curse",4170,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
168,Kyma,Sigma,4123,https://open.spotify.com/track/7uFe8D243AwsSEXkVoivz3
169,Criminale,Leaderbrain,4092,https://open.spotify.com/track/06Rn9dPc1lxouC62whG3l6
170,"Wasted Love (feat. Lagique)",Ofenbach,4090,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
171,Chosen,Måneskin,4071,https://open.spotify.com/track/2lDgdWIGLYuk74pDeRPgPF
172,"Solar Power",Lorde,4069,https://open.spotify.com/track/3KdoeNlEN0BoAKWzaRLNZa
173,"Save Your Tears","The Weeknd",4061,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
174,"Non Stop","Lil Barty",4036,https://open.spotify.com/track/0aoI5hdUMaVseW8SQ7KG4X
175,"jealousy, jealousy","Olivia Rodrigo",4030,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
176,Professor,IAMSTRONG,4023,https://open.spotify.com/track/7p735bl8nXf0Dg1EHNU0Ci
177,"Xorepse Mazi Mou",Saske,3940,https://open.spotify.com/track/2P3UGQhJUscOmOz7lNdV4T
178,"Roses - Imanbek Remix","SAINt JHN",3912,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
179,"Love Tonight - Edit",Shouse,3885,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
180,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,3860,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
181,"Agria Thalassa - Bonus Track","Giorgos Sabanis",3842,https://open.spotify.com/track/4gbWhkf7IWTExWXnx1TwW7
182,Straightenin,Migos,3840,https://open.spotify.com/track/15EH2glphTjcarRjAsc0EB
183,"Last Dance",Stefania,3812,https://open.spotify.com/track/0x4GMUtMeZAbti9fhDQnhj
184,"Dick (feat. Doja Cat)",StarBoi3,3810,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
185,"LA PAURA DEL BUIO",Måneskin,3804,https://open.spotify.com/track/2l7V3AuTxGuswKjGovaSEv
186,Filakes,Strat,3786,https://open.spotify.com/track/0omM3mkVfjt8MhDKinkhcn
187,Kotera,"Mad Clip",3782,https://open.spotify.com/track/3f7zVrAcCZ1BVlArmg8wzr
188,"Paraskevi Proi","Konstantinos Argiros",3775,https://open.spotify.com/track/2eQMXyLIqi0CjI9GQtbBa9
189,"Deja Vu","Helena Paparizou",3658,https://open.spotify.com/track/0YrwBGPtuCTz1j0b5NnjGX
190,Daxiiiiiii?,"Sin Boy",3645,https://open.spotify.com/track/0EKePN86SoIGoMyhMFiat9
191,"Don't Start Now","Dua Lipa",3635,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
192,"HIGHEST IN THE ROOM","Travis Scott",3632,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
193,"Ice BOYZ",Rack,3630,https://open.spotify.com/track/3mgfECSAnvo2cADUvLjHqB
194,Business,TOQUEL,3630,https://open.spotify.com/track/3gN3eHqeAp9NSQUAT9xtzg
195,"Jalebi Baby",Tesher,3607,https://open.spotify.com/track/6GKGoi0FHzldk1ZRQoV1fv
196,"Gel Burda","Dof Twogee",3586,https://open.spotify.com/track/3aML8uROR94OkM5dY74gxf
197,CASINO,"Dani Gambino",3574,https://open.spotify.com/track/6R6PuTtq2onc9ktV1RbE16
198,Muezzin,"Dof Twogee",3567,https://open.spotify.com/track/0AcBPvuK0vxr3wqcdePpRM
199,"NO STRESS",RICTA,3544,https://open.spotify.com/track/2VBlL1nXj1ifCDsI9bMtbD
200,Levitating,"Dua Lipa",3518,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
