,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
129,Myra,"Tani Yuuki",32987,https://open.spotify.com/track/5wc4f6crkCzAvwNhoEeMhh
130,レディメイド,Ado,32826,https://open.spotify.com/track/6IP3GvRj6Rc65rly1rIHq5
131,ヴァンパイア,DECO*27,32313,https://open.spotify.com/track/0m9QPTZzjtqCWY9Jg8poHc
132,"MONTERO (Call Me By Your Name)","Lil Nas X",32296,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
133,RUNWAY,"PRODUCE 101 JAPAN SEASON2",32266,https://open.spotify.com/track/314FsA0pidoo1N3Y6pMcEW
134,"Pop Corn","BLOOM VASE",32135,https://open.spotify.com/track/0T2ccREtAzxRQLvKKWSxjH
135,恋唄,"Shota Shimizu",32026,https://open.spotify.com/track/5xrTkg0cv5l8pF1C42NSon
136,キンモクセイ,オレンジスパイニクラブ,31976,https://open.spotify.com/track/2yXTuH22VMVjFME060zJRv
137,"Your eyes tell",BTS,31960,https://open.spotify.com/track/3TZ7NHkMT82AhwuYsd00Hz
138,"Shape of You","Ed Sheeran",31926,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
139,Yesterday,"Official HIGE DANdism",31917,https://open.spotify.com/track/1kMlcLyljkrShV0LSdSGBz
140,花束のかわりにメロディーを,"Shota Shimizu",31901,https://open.spotify.com/track/2028QNsVTmp5IF7UK4ZnaE
141,"再会 (produced by Ayase)",LiSA,31623,https://open.spotify.com/track/52IsIvHidofM9JMjw78Jyz
142,東京フラッシュ,Vaundy,31544,https://open.spotify.com/track/0jPZf5231RdBUMLFG1HqXi
143,シル・ヴ・プレジデント,P丸様｡,31424,https://open.spotify.com/track/0nW1Aes1arNyR1fzEKXS2m
144,カタコト,"sloppy dim",31325,https://open.spotify.com/track/3ck6DbwKM4maTik8s7j3s4
145,第六感,Reol,30976,https://open.spotify.com/track/22sQUmLhT8umlEhQzDrzfJ
146,HANABI,Mr.Children,30694,https://open.spotify.com/track/0AU7xhipAm9Saq0k8A9Iua
147,"My Resort","¥ellow Bucks",30560,https://open.spotify.com/track/7p21ty59l7gtfhDX7rifLa
148,"Leave The Door Open","Bruno Mars",30219,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
149,馬と鹿,"Kenshi Yonezu",29661,https://open.spotify.com/track/0iniTNHwqBiP4UDE1dgUpD
150,三文小説,"King Gnu",29549,https://open.spotify.com/track/7BMKWT0Vw0EKDELXLvuWCp
151,ピースサイン,"Kenshi Yonezu",29546,https://open.spotify.com/track/364JzOajs76bJymjHm3sVY
152,ずっとずっとずっと,"Ryokuoushoku Shakai",29389,https://open.spotify.com/track/2He9deEfdXYWxnTUi0oOb0
153,あーあ。,ReN,29373,https://open.spotify.com/track/5sNFmrc2sbS3LZ4WNxHFej
154,別の人の彼女になったよ,wacci,29327,https://open.spotify.com/track/666wLEFj1AtTNBEcErygLz
155,キセキ,GReeeeN,29289,https://open.spotify.com/track/7ztdl6cnbJgHRdMkKldkts
156,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",29084,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
157,IDOL,BTS,29036,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS
158,"Romeo+Juliet -Love goes on-",HIRAIDAI,28929,https://open.spotify.com/track/3wYzd4dzWknPdgwNaPGQvg
159,寄り酔い,和ぬか,28917,https://open.spotify.com/track/154Jycdld9dX9rBLE6L3v4
160,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",28884,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
161,青春病,"Fujii Kaze",28681,https://open.spotify.com/track/4EwKtJQT2ZHKzECGH3EjLx
162,何なんw,"Fujii Kaze",28620,https://open.spotify.com/track/2Nl3vx5qRnATIckVRZxb4T
163,八月の陽炎,"Macaroni Empitsu",28497,https://open.spotify.com/track/06Q3gpxiTKhmkPxMh4dNiN
164,"In the morning",ITZY,28473,https://open.spotify.com/track/2QdH0rKlV3d9Y6lWzcnlBH
165,優しさ,"Fujii Kaze",28262,https://open.spotify.com/track/0f3Ce9xjHymExIpEyHUC8D
166,きらきら,もさを。,28094,https://open.spotify.com/track/5eXXJJuejAUkggSgIINU1V
167,だから僕は音楽を辞めた,ヨルシカ,28026,https://open.spotify.com/track/5j7ixaLeGTGSv4DzKs0pCM
168,アイネクライネ,"Kenshi Yonezu",28002,https://open.spotify.com/track/45YBVp6zMwQZRbUDcPzmMB
169,"FAKE LOVE",BTS,27911,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
170,エメラルド,"back number",27505,https://open.spotify.com/track/0ygrzSnhdIAcxXLb5pPeNU
171,"Blue & Grey",BTS,27471,https://open.spotify.com/track/0n2moJpAEWHwaPYYjkzMDl
172,さよならエレジー,"Masaki Suda",27194,https://open.spotify.com/track/0QKmcZNAST4GytJYmkN05D
173,FANCY,TWICE,26886,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA
174,"Fly To My Room",BTS,26819,https://open.spotify.com/track/3QH8rQGNFX8VLbCgZ7uPTS
175,創造,"Gen Hoshino",26762,https://open.spotify.com/track/359Yw4Ng9TcH667Ct2Dj6D
176,"Wasted Nights","ONE OK ROCK",26738,https://open.spotify.com/track/39LyUQIy7idLxPdsjyZsxe
177,ロマンチシズム,"Mrs. GREEN APPLE",26662,https://open.spotify.com/track/0JcI7OdALbpSFkyKoufRYs
178,"Next Level",aespa,26610,https://open.spotify.com/track/2zrhoHlFKxFTRF5aMyxMoQ
